,, 2^1, 2^2, 2^3, 2^4, 2^5, 2^6, 2^7, 2^8, 2^9, 2^10, 2^11, 2^12, 2^13, 2^14, 2^15, 2^16
Insertion; unsorted, 35, 25, 51, 86, 293, 1087, 3609
Merge; unsorted, 38, 77, 146, 377, 949, 2692, 10257
Quick; unsorted, 19, 33, 44, 80, 201, 899, 2786
Quick2; unsorted, 23, 29, 45, 79, 260, 449, 1248
Quick3; unsorted, 27, 40, 62, 116, 726, 2173, 5238
Insertion; sorted, 20, 20, 33, 41, 55, 92, 153
Merge; sorted, 30, 62, 123, 316, 823, 2452, 9943
Quick; sorted, 19, 20, 33, 41, 56, 91, 154
Quick2; sorted, 25, 29, 42, 58, 428, 1879, 6161
Quick3; sorted, 28, 41, 80, 190, 486, 1148, 2557